Category,Date,Study,Study Link,Journal,Severe,Severe Significant,Severe Age Adjusted,Severe OR Calculated or Extracted,Fatality,Fatality Significant,Fatality Age Adjusted,Fatality OR Calculated or Extracted,Design,Sample,Study Population,Sample Text,Matches,Entry
Diabetes ci,2020-04-19,Comorbid Chronic Diseases and Acute Organ Injuries Are Strongly Correlated with Disease Severity and Mortality among COVID-19 Patients: A Systemic Review and Meta-Analysis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7187729/,Research (Wash D C),,,,,,,,,Systematic review,41.0,"The databases PubMed, Embase, Web of Science, medRxiv, and bioRxiv were searched for all articles published through April 6, 2020, with no language restrictions, using the following keywords: “2019-nCoV” OR “SARS-CoV-2” OR “COVID-19” OR “new coronary pneumonia” OR “corona virus” OR “novel coronavirus” OR “nCoV”.","based on a report from Jinyintan Hospital in Wuhan, China , which included 41 laboratory-confirmed COVID-19 cases; five of these 41 patients (12%) had ACI, and four of these five patients (80%) were admitted to the ICU.","Our analysis revealed that compared to COVID-19 patients with no preexisting chronic cardiovascular condition, COVID-19 patients who present with either hypertension or CVD have an approximately 3-4-fold higher risk of developing severe disease, with an odds ratio (OR) of 2.92 (95% CI: 2.35, 3.64) and 3.84 (95% CI: 2.90, 5.07), respectively (Figure 3).

Our analysis revealed that compared to COVID-19 patients with no preexisting chronic cardiovascular condition, COVID-19 patients who present with either hypertension or CVD have an approximately 3-4-fold higher risk of developing severe disease, with an odds ratio (OR) of 2.92 (95% CI: 2.35, 3.64) and 3.84 (95% CI: 2.90, 5.07), respectively ( Figure 3 ).

showing that both preexisting diabetes (OR: 3.0; 95% CI: 1.4, 6.3) and preexisting hyperglycemia (OR: 3.3; 95% CI: 1.4, 7.7) were independent predictors of SARS-related death .",2020-05-12
Diabetes ci,2020-04-19,Obesity as a risk factor for greater severity of COVID-19 in patients with metabolic associated fatty liver disease,https://doi.org/10.1016/j.metabol.2020.154244,Metabolism,,,,,,,,,Other,214.0,"We consecutively enrolled 214 patients with laboratory-confirmed COVID-19 aged between 18 and 75 years from three hospitals in Wenzhou, China (the First Affiliated Hospital of Wenzhou Medical University, Wenzhou Central Hospital, and Ruian People's Hospital) between January 1, 2020 and February 29, 2020.","Methods 214 patients with laboratory-confirmed COVID-19 aged between 18 and 75 years from three hospitals in Wenzhou, China were consecutively enrolled.","Notably, this association with obesity and COVID-19 severity remained significant (adjusted-OR 6.32, 95% CI 1.16–34.54, p = .033) even after adjusting for age, sex, smoking, diabetes, hypertension, and dyslipidaemia.

Results The presence of obesity in MAFLD patients was associated with a ~ 6-fold increased risk of severe COVID-19 illness (unadjusted-OR 5.77, 95% CI 1.19–27.91, p = .029).",2020-04-24
Diabetes ci,2020-04-16,Cardiovascular Diseases and COVID-19 Mortality and Intensive Care Unit Admission: A Systematic Review and Meta-analysis,https://doi.org/10.1101/2020.04.12.20062869,medrxiv,,,,,,,,,Systematic review,3473.0,"Searched Databases included PubMed, Embase, Scopus, Web of Science, Cochrane Library, medRxiv pre-print database as well as Science Direct search engine.",Results: Sixteen papers including 3473 patients entered into meta-analysis for ICU admission and mortality outcome and fifty-nine papers including 9509 patients for descriptive outcomes.,"Results of meta-analysis indicated that acute cardiac injury, (OR: 15.94, 95% CI 2.31-110.14), hypertension (OR: 1.92, 95% CI 1.92-2.74), heart Failure (OR: 11.73, 95% CI 5.17-26.60), other cardiovascular disease (OR: 1.95, 95% CI 1.17-3.24) and overall CVDs (OR: 3.37, 95% CI 2.06-5.52) were significantly associated with mortality in COVID-19 patients.

Results of meta-analysis indicated that acute cardiac injury (OR: 15.94, 95% CI 2.31-110.14), Hypertension (OR: 1.92, 95% CI 1.92-2.74), Heart Failure (OR: 11.73, 95% CI 5.17-26.60), other cardiovascular disease (OR: 1.95, 95% CI 1.17-3.24) and overall CVDs (OR: 3.37, 95% CI 2.06-5.52) were significantly associated with mortality in COVID-19 patients.

Odds of mortality of COVID-19 patients with heart failure was significantly higher than hypertension and other cardiovascular diseases ( Table 2) .",2020-04-24
Diabetes ci,2020-04-13,"Nosocomial infection among patients with COVID-19: A retrospective data analysis of 918 cases from a single center in Wuhan, China",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7180328/,PMC,,,,,,,,,Retrospective observational,918.0,"We retrospectively analyzed the clinical data of 918 COVID-19 patients in Tongji Hospital from December 30, 2019, to February 29, 2020.","We retrospectively analyzed the clinical data of 918 COVID-19 patients in Tongji Hospital from December 30, 2019, to February 29, 2020.","Among these factors, the highest odds ratio was for invasive devices (OR, 4.62; 95% CI, 2.47–8.62) followed by diabetes (OR, 3.04; 95% CI, 1.38–6.69), combination of antibiotics (OR, 3.02; 95% CI, 1.10–8.26), glucocorticoid treatment (OR, 2.44; 95% CI, 1.36–4.37), and hematological disease (OR, 1.95; 95% CI, 1.01–1.06).

In total, 40 of 65 patients (65.6%) in the case group had comorbidities; the most prevalent of these were hypertension (36.9%), cardiovascular disease (18.5%), and diabetes (18.5%).

Significant predictors of nosocomial infection after adjustment for other covariates were invasive devices (OR, 4.28; 95% CI, 2.47–8.61; P =.007) followed by diabetes (OR,: 3.06, 95% CI, 1.41–7.22; P =.037), and combination of antibiotics (OR, 1.84, 95% CI, 1.31–4.59; P = .003) (Supplementary Table 1 online).

Significant predictors of nosocomial infection after adjustment for other covariates were invasive devices (OR, 4.28; 95% CI, 2.47-8.61; P =.007) followed by diabetes (OR,: 3.06, 95% CI, 1.41-7.22; P =.037), and combination of antibiotics (OR, 1.84, 95% CI, 1.31-4.59; P = .003) (Supplementary Table 1 online).",2020-05-01
Diabetes ci,2020-04-12,Risk factors for severity and mortality in adult COVID-19 inpatients in Wuhan,https://doi.org/10.1016/j.jaci.2020.04.006,Journal of Allergy and Clinical Immunology,,,,,,,,,Case series,549.0,"Methods Patients with COVID-19 admitted to Tongji Hospital from January 26, 2020 to February 5, 2020 were retrospectively enrolled and followed-up until March 3, 2020.","A total of 549 patients with COVID-19 were enrolled, of whom 548 cases were included in the 219 study.","In the final logistic regression model, variables such as age 65 or older (OR 2.2; 95% CI 1.5-3.5), 292 hypertension (OR 2.0; 95% CI 1.3-3.2), LDH >445 U/L (OR 4.4; 95% CI 2.6-7.6), and 293 d-dimer >1 mg/L (OR 2.2; 95% CI 1.4-3.3) were significantly associated with severe cases with 294 COVID-19 ( Figure 1) .",2020-04-17
Diabetes ci,2020-04-11,"Factors associated with hospitalization and critical illness among 4,103 patients with COVID-19 disease in New York City",https://doi.org/10.1101/2020.04.08.20057794,medrxiv,,,,,,,,,Cross-sectional,4103.0,"Methods: We conducted a cross-sectional analysis of all patients with laboratory-confirmed Covid-19 treated at a single academic health system in New York City between March 1, 2020 and April 2, 2020, with follow up through April 7, 2020.","Results: Among 4,103 Covid-19 patients, 1,999 (48.7%) were hospitalized, of whom 981/1,999 (49.1%) have been discharged home, and 292/1,999 (14.6%) have died or were discharged to hospice.","Strongest hospitalization risks were age ≥75 years (OR 66.8, 95% CI, 44.7-102.6), age 65-74 (OR 10.9, 95% CI, 8.35-14.34), BMI>40 (OR 6.2, 95% CI, 4.2-9.3), and heart failure (OR 4.3 95% CI, 1.9-11.2).

In multivariable analysis, the factors most associated with hospitalization were age 75 years or older (OR 66.8, 95% CI, 44.7 to 102.6), age 65-74 (OR 10.9, 95% CI, 8.35 to 14.34), 1 1 BMI>40 (OR 6.2, 95% CI, 4.2-9.3), and history of heart failure (OR 4.3 95% CI, 1.9-11.2).

A total of 614 (15.0%) had diabetes, 1,100 (26.8%) obesity, and 1,235 (30.1%) cardiovascular disease.",2020-04-17
Diabetes ci,2020-04-10,The Use of Adjuvant Therapy in Preventing Progression to Severe Pneumonia in Patients with Coronavirus Disease 2019: A Multicenter Data Analysis,https://doi.org/10.1101/2020.04.08.20057539,medrxiv,,,,,,,,,Retrospective observational,30.0,"DESIGN, SETTING, AND PARTICIPANTS Multicenter, retrospective cohort study of 564 consecutively hospitalized patients with confirmed COVID-19 at Third Xiangya Hospital of Central South University, Changsha Public Health Treatment Center, First Hospital of Yueyang, Junshan People's Hospital of Yueyang, Central Hospital of Shaoyang, Central Hospital of Xiangtan, Second Hospital of Changde, Central Hospital of Loudi, and First Affiliated Hospital of University of South China in Hunan province from January 17, 2020 to February 28, 2020; The final date of follow-up was March 15, 2020.","Thirty patients were classified with severe pneumonia on admission and were excluded, to leave 534 patients with non-severe COVID-19 on admission for further analysis.","95% CI, -10 to -7; P < 0.001).

Characteristics Diabetes ACEI/ARB (n = 16) 2 (12.5%) Non-ACEI/ARB (n = 49) 18 (36.7%) Difference (95% CI) 24.2 (-2.2 to 40.9) P 0.068

Characteristics Cerebrovascular disease ACEI/ARB (n = 16) 0 Non-ACEI/ARB (n = 49) 3 (6.1%) Difference (95% CI) 6.1 (-13.7 to 16.5) P 0.311",2020-04-17
Diabetes ci,2020-04-09,COVID-19 and Diabetes: Knowledge in Progress,https://doi.org/10.1016/j.diabres.2020.108142,Diabetes Research and Clinical Practice,,,,,,,,,Other,72314.0,"Methods We searched for articles in PubMed and Google Scholar databases till 02 April 2020, with the following keywords: “SARS-CoV-2”, “COVID-19”, “infection”, “pathogenesis”, “incubation period”, “transmission”, “clinical features”, “diagnosis”, “treatment”, “diabetes”, with interposition of the Boolean operator “AND”.","In a large Chinese report including 72,314 patients, only 2% of those infected were younger than 20 years old (20) .","One Chinese meta-analysis including 1527 patients showed that the most prevalent cardiovascular metabolic comorbidities with COVID-19 were hypertension (17.1%, 95% CI 9.9 -24.4%) and cardio-cerebrovascular disease (16.4%, 95% CI 6.6 -26.1%), followed by diabetes (9.7%, 95% CI 6.9 -12.5%).",2020-04-17
Diabetes ci,2020-04-09,SARS-Cov-2 in Spanish Intensive Care: Early Experience with 15-day Survival In Vitoria,https://doi.org/10.1016/j.accpm.2020.04.001,Anaesthesia Critical Care & Pain Medicine,,,,,,,,,Other,42.0,Methods: We identified patients from the two public hospitals in Vitoria who were admitted to ICU with confirmed infection by SARS-CoV-2.,"Empirical antibiotic agents were administrated to 42 patients, whereas co-infection was identified in 6 patients.",Obesity Diabetes mellitus 23 (48%) 9 (19%) - 7 (33%) - - 10 (31%) -,2020-04-17
Diabetes ci,2020-04-08,Does comorbidity increase the risk of patients with COVID-19: evidence from meta-analysis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7185114/,Aging (Albany NY),,,,,,,,,Systematic review,1558.0,"A literature search was performed using the electronic platforms (PubMed, Cochrane Library, Embase, and other databases) to obtain relevant research studies published up to March 1, 2020.",A total of 1558 patients with COVID-19 in 6 studies were enrolled in our meta-analysis eventually.,"The results find that COVID-19 patients with hypertension (OR: 2.29, 95% CI: 1.69-3.10, P<0.001) (Figure 2A), diabetes (OR: 2.47, 95% CI: 1.67-3.66, P<0.001) (Figure 2B), or COPD (OR: 5.97, 95% CI: 2.49-14.29, P<0.001) (Figure 2C) had a higher risk of exacerbation.

Inclusion criteria are as follows: Types of Studies: published studies reported the relationship between comorbidity and patients with COVID-19; Subjects: diagnosed patients with COVID-19; Exposure intervention: COVID-19 patients with comorbidity included: hypertension, diabetes, chronic obstructive pulmonary disease (COPD), liver disease, malignancy, renal disease, cardiovascular disease, cerebrovascular disease; Outcome indicator: the odds ratios (OR) with 95% confidence intervals (CI) for each comorbidity.

The meta-analysis identified hypertension, diabetes, COPD, cardiovascular disease, and cerebrovascular disease as significant risk factors for COVID-19 patients.

Hypertension, diabetes, COPD, cardiovascular disease, and cerebrovascular disease are major risk factors for patients with COVID-19.",2020-05-12
Diabetes ci,2020-04-06,Widespread use of face masks in public may slow the spread of SARS CoV-2: an ecological study,https://doi.org/10.1101/2020.03.31.20048652,medrxiv,,,,,,,,,Systematic review,500.0,Countries with missing data were dropped from the analyses.,"Secondly, we only included countries 155 with at least 500 cumulative cases and countries whose first case was reported 156 before 7 March 2020.","0.07, 95% CI 0.05-0.08, P<0.001).

-326, 95% CI -601- -51, P=0.021).",2020-04-10
Diabetes ci,2020-04-04,Is the ACE2 Overexpression a Risk Factor for COVID-19 Infection?,https://doi.org/10.1016/j.arcmed.2020.03.011,Archives of Medical Research,,,,,,,,,Other,72.0,"The prevalence of hypertension in the Chinese adult population $18 years of age based on the 2017 American College of Cardiology/American Heart Association guideline is 46.4%, and increased in relation to age, reaching 78.7% in the population $75 years .","In the report of 72 314 patients infected with the novel coronavirus disease in China, a higher proportion of patients with severe disease were found in older persons with comorbidities such as cardiovascular disease, diabetes mellitus, or hypertension (1) .","In the report of 72 314 patients infected with the novel coronavirus disease in China, a higher proportion of patients with severe disease were found in older persons with comorbidities such as cardiovascular disease, diabetes mellitus, or hypertension .",2020-04-17
Diabetes ci,2020-04-03,"Preliminary Estimates of the Prevalence of Selected Underlying Health Conditions Among Patients with Coronavirus Disease 2019 — United States, February 12–March 28, 2020",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7119513/,MMWR Morb Mortal Wkly Rep,,,,,,,,,Other,335.0,"In contrast, 335 patients aged <19 years were not hospitalized and 1,342 had missing data on hospitalization.","In contrast, 335 patients aged <19 years were not hospitalized and 1,342 had missing data on hospitalization.","Diabetes mellitus (784, 10.9%) 331 No. (%)  251 148 54 ",2020-04-17
